date,timestamp,open,high,low,close,volume
2025-05-06 17:32:00,1746552720,168.94,168.94,168.76,168.88,22.052
2025-05-06 17:33:00,1746552780,168.83,169.0,168.75,168.96,97.745
2025-05-06 17:34:00,1746552840,169.0,169.0,168.8,168.89,4.977
2025-05-06 17:35:00,1746552900,168.91,169.13,168.91,168.98,28.593
2025-05-06 17:36:00,1746552960,168.93,168.93,168.67,168.67,14.735
2025-05-06 17:37:00,1746553020,168.72,168.72,168.42,168.58,2.294
2025-05-06 17:38:00,1746553080,168.63,168.63,168.24,168.24,1.356
2025-05-06 17:39:00,1746553140,168.23,168.23,167.99,168.1,27.999
2025-05-06 17:40:00,1746553200,168.15,168.15,167.98,167.98,3.359
2025-05-06 17:41:00,1746553260,167.99,168.01,167.86,167.95,20.825
2025-05-06 17:42:00,1746553320,167.94,167.94,167.81,167.91,6.611
2025-05-06 17:43:00,1746553380,167.84,167.84,167.44,167.49,64.754
2025-05-06 17:44:00,1746553440,167.37,167.52,167.23,167.25,38.056
2025-05-06 17:46:00,1746553560,167.24,167.26,167.2,167.26,13.601
2025-05-06 17:48:00,1746553680,167.5,167.54,167.45,167.52,2.138
2025-05-06 17:50:00,1746553800,167.47,167.78,167.47,167.78,3.077
2025-05-06 17:51:00,1746553860,167.78,167.78,167.31,167.45,5.408
2025-05-06 17:52:00,1746553920,167.34,167.45,167.34,167.38,19.767
2025-05-06 17:53:00,1746553980,167.37,167.37,167.19,167.19,9.567
2025-05-06 17:54:00,1746554040,167.24,167.29,167.24,167.24,5.094
2025-05-06 17:55:00,1746554100,167.24,167.24,167.24,167.24,0.155
2025-05-06 17:56:00,1746554160,167.23,167.32,167.23,167.32,4.191
2025-05-06 17:57:00,1746554220,167.38,167.52,167.31,167.31,11.521
2025-05-06 17:58:00,1746554280,167.26,167.37,167.2,167.35,5.469
2025-05-06 17:59:00,1746554340,167.27,167.36,167.25,167.36,0.577
2025-05-06 18:00:00,1746554400,167.43,167.52,167.43,167.43,19.825
2025-05-06 18:01:00,1746554460,167.4,167.43,167.24,167.34,19.039
2025-05-06 18:02:00,1746554520,167.4,167.85,167.38,167.75,43.538
2025-05-06 18:03:00,1746554580,167.79,167.89,167.62,167.72,57.053
2025-05-06 18:04:00,1746554640,167.73,168.24,167.73,168.16,110.855
2025-05-06 18:05:00,1746554700,168.16,168.16,167.83,167.98,55.697
2025-05-06 18:06:00,1746554760,167.93,167.93,167.48,167.89,44.494
2025-05-06 18:07:00,1746554820,167.85,168.02,167.77,168.02,12.807
2025-05-06 18:08:00,1746554880,167.96,168.05,167.89,168.05,2.876
2025-05-06 18:09:00,1746554940,168.1,168.29,168.1,168.27,15.261
2025-05-06 18:10:00,1746555000,168.3,168.3,167.77,167.77,144.901
2025-05-06 18:11:00,1746555060,167.69,167.73,167.49,167.7,18.151
2025-05-06 18:12:00,1746555120,167.68,167.78,167.62,167.67,19.861
2025-05-06 18:13:00,1746555180,167.66,167.78,167.59,167.77,14.293
2025-05-06 18:14:00,1746555240,167.79,167.86,167.61,167.86,38.335
2025-05-06 18:15:00,1746555300,167.81,168.19,167.8,168.19,6.044
2025-05-06 18:16:00,1746555360,168.21,168.37,168.18,168.37,24.14
2025-05-06 18:17:00,1746555420,168.39,168.59,168.39,168.59,5.897
2025-05-06 18:18:00,1746555480,168.65,168.68,168.48,168.52,110.303
2025-05-06 18:19:00,1746555540,168.54,168.62,168.49,168.58,10.819
2025-05-06 18:20:00,1746555600,168.57,168.74,168.54,168.54,6.951
2025-05-06 18:21:00,1746555660,168.6,168.75,168.58,168.65,4.919
2025-05-06 18:22:00,1746555720,168.68,168.79,168.67,168.79,3.144
2025-05-06 18:23:00,1746555780,168.83,169.07,168.83,169.07,6.461
2025-05-06 18:24:00,1746555840,169.03,169.76,168.96,169.67,732.813
2025-05-06 18:25:00,1746555900,169.66,170.44,169.66,169.91,506.114
2025-05-06 18:26:00,1746555960,169.9,169.9,169.63,169.68,29.357
2025-05-06 18:27:00,1746556020,169.68,169.68,169.53,169.66,20.735
2025-05-06 18:28:00,1746556080,169.69,170.22,169.69,170.22,51.843
2025-05-06 18:29:00,1746556140,170.21,170.62,170.2,170.59,151.156
2025-05-06 18:30:00,1746556200,170.59,170.63,170.47,170.47,160.448
2025-05-06 18:31:00,1746556260,170.45,170.46,170.26,170.28,17.165
2025-05-06 18:32:00,1746556320,170.25,170.36,170.08,170.28,31.93
2025-05-06 18:33:00,1746556380,170.28,170.54,170.28,170.48,17.541
2025-05-06 18:34:00,1746556440,170.45,170.48,170.28,170.28,0.525
2025-05-06 18:35:00,1746556500,170.24,170.63,170.19,170.56,31.65
2025-05-06 18:36:00,1746556560,170.57,170.71,170.48,170.59,40.008
2025-05-06 18:37:00,1746556620,170.68,170.77,170.5,170.74,47.361
2025-05-06 18:38:00,1746556680,170.68,170.85,170.5,170.82,51.197
2025-05-06 18:39:00,1746556740,170.78,170.79,170.64,170.74,34.416
2025-05-06 18:40:00,1746556800,170.81,170.91,170.72,170.77,16.31
2025-05-06 18:41:00,1746556860,170.73,170.87,170.68,170.87,20.857
2025-05-06 18:42:00,1746556920,170.9,170.93,170.75,170.83,41.963
2025-05-06 18:43:00,1746556980,170.8,170.85,170.66,170.74,58.216
2025-05-06 18:44:00,1746557040,170.77,170.84,170.75,170.83,23.087
2025-05-06 18:45:00,1746557100,170.86,170.97,170.81,170.91,8.988
2025-05-06 18:46:00,1746557160,170.91,171.12,170.75,171.12,73.622
2025-05-06 18:47:00,1746557220,171.15,171.15,170.95,171.13,22.263
2025-05-06 18:48:00,1746557280,171.15,171.33,171.15,171.22,43.155
2025-05-06 18:49:00,1746557340,171.18,171.18,171.0,171.13,36.604
2025-05-06 18:50:00,1746557400,171.12,171.39,171.11,171.22,34.803
2025-05-06 18:51:00,1746557460,171.15,171.2,171.04,171.2,91.857
2025-05-06 18:52:00,1746557520,171.25,171.32,171.22,171.26,6.212
2025-05-06 18:53:00,1746557580,171.29,171.5,171.29,171.5,10.285
2025-05-06 18:54:00,1746557640,171.5,171.57,171.39,171.54,63.874
2025-05-06 18:55:00,1746557700,171.54,171.63,171.54,171.62,1.016
2025-05-06 18:56:00,1746557760,171.65,172.15,171.65,172.13,26.194
2025-05-06 18:57:00,1746557820,172.08,172.22,172.06,172.2,12.827
2025-05-06 18:58:00,1746557880,172.2,172.62,172.1,172.57,80.742
2025-05-06 18:59:00,1746557940,172.57,173.36,172.57,173.16,444.963
2025-05-06 19:00:00,1746558000,173.15,173.51,173.1,173.38,199.847
2025-05-06 19:01:00,1746558060,173.3,173.94,173.3,173.9,171.783
2025-05-06 19:02:00,1746558120,173.92,173.92,173.46,173.66,193.725
2025-05-06 19:03:00,1746558180,173.62,173.62,173.3,173.42,133.479
2025-05-06 19:04:00,1746558240,173.39,173.39,172.35,172.37,182.231
2025-05-06 19:05:00,1746558300,172.4,172.58,171.93,171.95,69.587
2025-05-06 19:06:00,1746558360,171.93,171.99,171.67,171.67,75.386
2025-05-06 19:07:00,1746558420,171.68,172.06,171.68,172.02,310.042
2025-05-06 19:08:00,1746558480,172.02,172.14,172.0,172.0,176.44
2025-05-06 19:09:00,1746558540,172.0,172.11,172.0,172.05,286.799
2025-05-06 19:10:00,1746558600,172.01,172.23,172.0,172.0,2.127
2025-05-06 19:11:00,1746558660,172.02,172.05,171.87,172.01,124.399
2025-05-06 19:12:00,1746558720,172.0,172.0,171.44,171.44,47.363
2025-05-06 19:13:00,1746558780,171.48,171.71,171.44,171.71,146.963
2025-05-06 19:14:00,1746558840,171.8,171.89,171.78,171.89,38.232
2025-05-06 19:15:00,1746558900,171.81,172.37,171.72,172.23,45.725
2025-05-06 19:16:00,1746558960,172.26,172.38,172.26,172.38,0.021
2025-05-06 19:17:00,1746559020,172.48,172.99,172.48,172.88,222.624
2025-05-06 19:18:00,1746559080,172.83,172.86,172.57,172.72,82.04
2025-05-06 19:19:00,1746559140,172.64,172.67,172.2,172.2,105.324
2025-05-06 19:20:00,1746559200,172.25,172.46,172.17,172.18,34.615
2025-05-06 19:21:00,1746559260,172.21,172.31,172.09,172.31,60.854
2025-05-06 19:22:00,1746559320,172.37,172.64,172.37,172.64,19.592
2025-05-06 19:23:00,1746559380,172.55,172.85,172.49,172.84,58.31
2025-05-06 19:24:00,1746559440,172.86,172.91,172.68,172.83,71.18
2025-05-06 19:25:00,1746559500,172.91,172.99,172.81,172.84,36.889
2025-05-06 19:26:00,1746559560,172.9,173.04,172.9,173.03,21.153
2025-05-06 19:27:00,1746559620,173.02,173.13,172.74,173.13,78.998
2025-05-06 19:28:00,1746559680,173.09,173.31,173.09,173.31,17.836
2025-05-06 19:29:00,1746559740,173.32,173.33,173.18,173.18,32.834
2025-05-06 19:30:00,1746559800,173.29,173.32,172.96,173.03,89.116
2025-05-06 19:31:00,1746559860,173.08,173.26,173.06,173.06,23.236
2025-05-06 19:32:00,1746559920,173.14,173.29,173.07,173.14,90.849
2025-05-06 19:33:00,1746559980,173.23,173.82,173.23,173.82,33.707
2025-05-06 19:34:00,1746560040,173.84,173.9,173.59,173.78,59.012
2025-05-06 19:35:00,1746560100,173.81,173.91,173.64,173.72,38.006
2025-05-06 19:36:00,1746560160,173.77,173.87,173.63,173.79,58.018
2025-05-06 19:37:00,1746560220,173.74,173.74,173.48,173.72,51.857
2025-05-06 19:38:00,1746560280,173.67,173.71,173.62,173.71,49.708
2025-05-06 19:39:00,1746560340,173.61,173.68,172.37,172.94,1346.48
2025-05-06 19:40:00,1746560400,172.95,172.96,172.58,172.63,205.242
2025-05-06 19:41:00,1746560460,172.61,172.9,172.39,172.86,139.605
2025-05-06 19:42:00,1746560520,172.86,173.24,172.82,173.2,36.987
2025-05-06 19:43:00,1746560580,173.23,173.28,173.06,173.28,30.614
2025-05-06 19:44:00,1746560640,173.3,173.48,173.3,173.48,16.713
2025-05-06 19:45:00,1746560700,173.37,173.52,173.28,173.28,51.648
2025-05-06 19:46:00,1746560760,173.2,173.29,173.19,173.29,18.509
2025-05-06 19:47:00,1746560820,173.42,173.48,173.41,173.41,64.47
2025-05-06 19:48:00,1746560880,173.52,173.55,173.18,173.18,65.086
2025-05-06 19:49:00,1746560940,173.1,173.1,173.03,173.1,10.46
2025-05-06 19:50:00,1746561000,173.09,173.19,172.82,172.82,283.265
2025-05-06 19:51:00,1746561060,172.69,172.72,172.52,172.72,22.304
2025-05-06 19:52:00,1746561120,172.72,172.82,172.65,172.71,62.217
2025-05-06 19:53:00,1746561180,172.72,172.82,172.72,172.74,23.271
2025-05-06 19:54:00,1746561240,172.72,172.82,172.68,172.82,6.849
2025-05-06 19:55:00,1746561300,172.75,172.83,172.75,172.83,21.93
2025-05-06 19:56:00,1746561360,172.79,172.79,172.66,172.73,11.101
2025-05-06 19:57:00,1746561420,172.74,172.92,172.7,172.92,107.848
2025-05-06 19:58:00,1746561480,172.95,172.97,172.95,172.97,2.111
2025-05-06 19:59:00,1746561540,172.96,172.96,172.72,172.76,109.666
2025-05-06 20:00:00,1746561600,172.87,172.88,172.66,172.81,55.506
2025-05-06 20:01:00,1746561660,172.83,172.93,172.73,172.75,28.78
2025-05-06 20:02:00,1746561720,172.75,172.83,172.67,172.67,28.105
2025-05-06 20:03:00,1746561780,172.62,172.94,172.62,172.94,61.294
2025-05-06 20:04:00,1746561840,173.0,173.08,172.86,173.08,17.866
2025-05-06 20:05:00,1746561900,172.96,173.49,172.94,173.49,187.561
